strategy,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,up_kwh,down_kwh
S0(0),13584929.45639856,0.0,1622392.1132600242,15207321.569658587,259807.05443413576,0.0,0.0
"S1(0,6)",13581881.860551087,483178.82917962957,580758.5153473732,14645819.205078088,89932.76717645551,715853.713231828,838418.230282639
"S2(0,6,12)",13595809.451910805,715381.0600578091,347589.28488440794,14658779.79685302,60791.047978805145,1093427.3756924153,1532401.9296047336
"S3(0,6,12,18)",13597453.15493872,851545.5938591869,283116.8161094324,14732115.564907338,53828.47392490217,1223152.4178028132,1640140.78617047
